# PCM	QM SCF-QM   MM	GP
0.512132    0.542541	0.561239    0.476772	0.413562
0.502766    0.540854	0.551881    0.499209	0.385136
0.527888    0.574773	0.593922    0.492715	0.426459
0.52012	0.56204	0.578899    0.493009	0.393675
0.523052    0.567087	0.585751    0.491678	0.398474
0.657885    0.673617	0.705882    0.5562  0.509453
0.76807	0.772613    0.839878	0.58911	0.587646
0.775529    0.783101	0.85475	0.587742    0.598098
0.790588    0.795992	0.871513    0.587513	0.608171
0.779924    0.772885	0.852414    0.590522	0.565209
0.354323    0.358732	0.378192    0.303457	0.272432
0.447827    0.429486	0.493521    0.28051 0.353812
0.426455    0.422003	0.489666    0.284534	0.336658
0.476378    0.46852 0.54579 0.265004	0.383466
0.484112    0.469047	0.550339    0.278999	0.410332
0.461712    0.494276	0.538351    0.376624	0.366695
0.464632    0.501999	0.549529    0.378988	0.361442
0.484091    0.517256	0.56839	0.379824    0.373852
0.473452    0.506611	0.557635    0.378596	0.354229
0.48351	0.516232    0.567101	0.378972    0.366073
0.500892    0.49789 0.536693	0.421855    0.382218
0.519934    0.514404	0.555074    0.426192	0.381062
0.514164    0.505819	0.548442    0.430328	0.359136
0.523976    0.519534	0.568838    0.426854	0.391343
0.382994    0.358137	0.409803    0.300261	0.27111
0.000537    0.000491	0.000539    0.00033 0.00044
0.741944    0.736486	0.853928    0.501345	0.525011
0.590602    0.626223	0.676966    0.484862	0.494699
1.018597    0.906801	1.136499    0.534653	0.735742
0.117635    0.185966	0.10555	0.297286    0.093886
0.450261    0.476516	0.474233    0.445283	0.321511
0.446685    0.428095	0.425333    0.43777 0.33151
0.283795    0.373541	0.350831    0.405679	0.222307
0.208913    0.115425	0.153958    0.034219	0.138503
0.628291    0.548145	0.57456	0.469733    0.453292
0.52306	0.515793    0.545397	0.400174    0.41833
0.547015    0.527638	0.543656    0.452882	0.418861
0.528636    0.524517	0.564626    0.481281	0.560821
0.459856    0.444478	0.454876    0.379761	0.338389
0.579163    0.508971	0.558008    0.31063 0.442708
0.819837    0.786909	0.788712    0.753187	0.599212
0.510813    0.489738	0.488346    0.474178	0.40101
0.843349    0.772992	0.790398    0.695705	0.60787
