# V(gp),   Err(gp-R), Err(gp+V-R)
2.031000000  6.053000000 -2.509726465
2.879000000  9.979000000 -2.158907185
3.712000000 15.053000000 -0.596847680
4.498000000 18.513000000 -0.450635470
5.384000000 22.739000000  0.039975240
1.861000000  6.156000000 -1.690003915
2.680000000 10.308000000 -0.990920200
3.500000000 14.475000000 -0.281052500
4.315000000 18.340000000  0.147895275
5.201000000 22.608000000  0.680505985
1.976135793  6.696807033 -1.634611112
2.791653064  9.640055278 -2.129595915
3.491774139 12.852140617 -1.869231530
4.468391923 17.971277611 -0.867529762
5.359561492 22.269312021 -0.326679623
2.165155489  4.751742569 -4.376585450
2.989925008  9.560538647 -3.045030036
3.817353181 13.531236323 -2.562781948
4.647990303 17.438814870 -2.157181967
5.501514392 21.612058794 -1.582408405
2.463856267  9.398947953 -0.988707027
3.297261439 13.608682361 -0.292621325
4.126834437 17.648281785  0.249485898
4.952734381 21.920729893  1.039927453
4.861365524 21.972803699  1.477213729
4.199615920 19.297704048  1.592060335
3.972811513 16.812137390  0.062704459
5.290512733 23.138461808  0.833580768
5.070262139 21.898989899  0.522688667
3.723885910 17.280268356  1.580309501
4.393236877 19.478249159  0.956296587
4.783031365 22.522056139  2.356724159
4.995236380 22.836436010  1.776444503
4.971020086 22.533412103  1.575516855
4.969531638 22.657193336  1.705573407
2.846374264 11.812883105 -0.187473488
3.200625000 14.541253206  1.047370197
3.261604977 13.550072983 -0.200902524
3.547456698 16.336759538  1.380628887
3.780191695 17.511915973  1.574571084
3.771347195 16.284390316  0.384333972
4.382847573 20.227485578  1.749334468
4.361601546 19.559371618  1.170794076
