# V(mm),   Err(mm-R), Err(mm+V-R)
2.054890961  6.160000000 -2.503451115
2.909671447  9.029000000 -3.238218466
3.727731345 14.472000000 -1.244171266
4.516844401 17.587000000 -1.456083747
5.396494242 21.951000000 -0.800700672
1.869020544  5.357000000 -2.522818649
2.682896874 10.093000000 -1.218133464
3.499421914 14.402000000 -0.351615281
4.311992122 18.209000000  0.029576534
5.189672835 22.108000000  0.228261483
2.014934905  9.334807033  0.839811249
2.819141292 12.787055278  0.901513304
3.663658445 16.227140617  0.781101658
4.483677526 21.098277611  2.195025906
5.375642703 25.308312021  2.644521751
2.185844591  6.496908569 -2.718645014
3.004080186 10.750313647 -1.914933478
3.825650701 14.646587323 -1.482413417
4.655764048 18.346588870 -1.282182193
5.505674755 22.546593794 -0.665413558
2.487107888 10.784528953  0.298844791
3.316790281 14.650840361  0.667202784
4.138698929 18.936576785  1.487760020
4.961638551 22.573432893  1.655090338
4.913239113 23.185549699  2.471259900
4.234655787 18.219463048  0.366090730
3.985153369 16.818846390  0.017380009
5.332968322 22.434052808 -0.049821632
5.086906905 21.373635899 -0.072839916
3.746650221 16.761532356  0.965598825
4.443045203 18.676389159 -0.055556063
4.795283716 22.350659139  2.133671063
5.025900408 22.469921010  1.280649501
5.012418181 22.109306103  0.976875866
5.012133088 22.293461336  1.162233055
2.846821793 12.157084105  0.154840723
3.203923455 14.444859206  0.937069861
3.293734247 14.606963983  0.720530992
3.550486636 16.803268538  1.834363623
3.794433063 18.552922973  2.555536263
3.782263588 15.441457316 -0.504622705
4.381945885 20.107063578  1.632713998
4.378601020 19.540510618  1.080263039
