2.054890961 9.602   0.938
2.909671447 13.305  1.037
3.727731345 17.916  2.2
4.516844401 21.435  2.392
5.396494242 25.721  2.969
1.869020544 8.511   0.632
2.682896874 13.301  1.99
3.499421914 17.382  2.629
4.311992122 21.169  2.99
5.189672835 25.34   3.461
2.014934905 11.66519297	3.17
2.819141292 15.19294472	3.307
3.663658445 18.69885938	3.253
4.483677526 23.38172239	4.478
5.375642703 27.68768798	5.024
2.185844591 10.34573943	1.13
3.004080186 14.63432635	1.969
3.825650701 18.54411468	2.415
4.655764048 22.43436113	2.806
5.505674755 26.57697021	3.365
2.487107888 12.15629705	1.671
3.316790281 16.16398164	2.18
4.138698929 20.38769711	2.939
4.961638551 24.02455322	3.106
4.913239113 24.4008543	3.687
4.234655787 19.28552895	1.432
3.985153369 20.29108161	3.49
5.332968322 26.04380319	3.56
5.086906905 24.1981861	2.752
3.746650221 17.60895164	1.813
4.443045203 22.18708684	3.455
4.795283716 22.91174286	2.695
5.025900408 24.65093699	3.462
5.012418181 25.2211259	4.089
5.012133088 25.54017666	4.409
2.846821793 13.1089119	1.107
3.203923455 15.22507479	1.717
3.293734247 15.57338402	1.687
3.550486636 17.25651946	2.288
3.794433063 18.87180703	2.874
3.782263588 17.35076868	1.405
4.381945885 20.56482242	2.09
4.37860102  21.00653538	2.546
